class_id,detector_label,semantic_class,char_dim_installed_m,min_px_on_target,detectability_tier,occlusion_sensitivity,self_occlusion_prior,base_recall_ref,notes
OC-01,beams,SteelMember,0.800,24,MEDIUM,0.35,0.05,0.90,"HEB800 web depth. Large, high-contrast against sky; robust at long standoff."
OC-02,column,SteelMember,0.400,24,MEDIUM,0.40,0.10,0.87,""
OC-03,steel rebar,ReinforcingBar,0.020,32,FINE,0.70,0.45,0.62,"Bar diameter B450C. Dense cages self-occlude heavily; individual bar counting is far harder than cage presence."
OC-04,steel stud,ShearStud,0.019,32,FINE,0.65,0.30,0.58,"Nelson stud shank diameter."
OC-05,concrete,ConcreteSurface,1.000,24,COARSE,0.20,0.02,0.92,"Surface class, not an object; presence is near-trivial, condition is not."
OC-06,bolt,Fastener,0.024,32,FINE,0.75,0.35,0.66,"M24 shank. Only the protruding end is visible once installed."
OC-07,nut,Fastener,0.036,32,FINE,0.75,0.30,0.68,"M24 nut across flats."
OC-08,washer,Fastener,0.004,32,FINE,0.90,0.80,0.41,"CRITICAL: once the nut is torqued, only the 4 mm washer edge annulus is visible, and only from a near-tangential viewpoint. The highest self-occlusion prior in the vocabulary and the reason IR-P4-019 is the canonical insufficient-evidence case."
OC-09,loose bolt,FastenerDefect,0.008,40,FINE,0.85,0.60,0.34,"Defect class: requires resolving thread protrusion differential, i.e. a sub-feature of the bolt itself."
OC-10,missing bolt,FastenerDefect,0.026,32,FINE,0.70,0.40,0.45,"Defect class defined by an empty hole; strongly confusable with an occluded bolt."
OC-11,container,SiteFacility,2.400,16,COARSE,0.20,0.02,0.94,""
OC-12,barricade,TemporaryProtection,1.000,20,COARSE,0.35,0.10,0.86,""
OC-13,barrier,TemporaryProtection,1.000,20,COARSE,0.35,0.10,0.88,"Primary evidence class for edge protection (IR-P3-008) and work-zone delimitation (IR-P1-002)."
OC-14,traffic barrier,TemporaryProtection,0.800,20,COARSE,0.30,0.08,0.87,"New Jersey type; also evidence for IR-P6-032."
OC-15,stop sign,Signage,0.600,24,MEDIUM,0.30,0.05,0.85,"Presence is detectable; legibility of the sign face is not, which is what the regulation actually requires."
OC-16,gloves,PPE,0.250,32,FINE,0.80,0.55,0.49,"Hands are occluded by the task being performed more often than not."
OC-17,helmet,PPE,0.280,32,FINE,0.55,0.15,0.78,"Most reliable PPE class: high on the body, high contrast, rarely self-occluded."
OC-18,boots,PPE,0.300,32,FINE,0.85,0.65,0.38,"Feet are occluded by terrain, spoil heaps, formwork and other workers in most site imagery."
OC-19,vest,PPE,0.600,24,MEDIUM,0.45,0.10,0.83,"Retroreflective, large; the most reliable PPE evidence after helmet."
OC-20,fence,TemporaryProtection,2.000,20,COARSE,0.40,0.10,0.84,"Mesh fencing; low texture contrast against background is the main failure mode, not size."
OC-21,nuts,Fastener,0.036,32,FINE,0.75,0.30,0.68,"Plural duplicate of OC-07 in the trained vocabulary; merge before use and report the merge."
OC-22,bolt_dup,Fastener,0.024,32,FINE,0.75,0.35,0.66,"Duplicate of OC-06 in the trained vocabulary; merge before use and report the merge."
