regulation_id,short_name,full_title,jurisdiction,instrument_type,domain
REG-DLGS-81-2008,D.Lgs. 81/2008,"Decreto Legislativo 9 aprile 2008 n. 81 - Testo unico sulla salute e sicurezza sul lavoro",IT,LegislativeDecree,OccupationalSafety
REG-NTC-2018,NTC 2018,"Norme Tecniche per le Costruzioni - D.M. 17 gennaio 2018",IT,MinisterialDecree,StructuralDesign
REG-CIRC-NTC-2018,Circolare NTC 2018,"Circolare 21 gennaio 2019 n. 7 C.S.LL.PP. - Istruzioni per l'applicazione delle NTC 2018",IT,Circular,StructuralDesign
REG-CDS-285-1992,Codice della Strada,"Decreto Legislativo 30 aprile 1992 n. 285 - Nuovo codice della strada",IT,LegislativeDecree,RoadTraffic
REG-DM-10-07-2002,D.M. 10/07/2002,"Decreto Ministeriale 10 luglio 2002 - Disciplinare tecnico relativo agli schemi segnaletici per il segnalamento temporaneo",IT,MinisterialDecree,RoadTraffic
REG-DM-49-2018,D.M. 49/2018,"Linee guida allegate al D.M. 7 marzo 2018 n. 49 - Direzione dei lavori e collaudo",IT,MinisterialDecree,WorksSupervision
REG-DM-09-01-1996,D.M. 09/01/1996,"Decreto Ministeriale 9 gennaio 1996 - Norme tecniche per il calcolo e collaudo delle strutture in c.a. e c.a.p.",IT,MinisterialDecree,StructuralExecution
REG-EN-1992,Eurocode 2,"EN 1992 - Design of concrete structures",EU,HarmonisedStandard,StructuralDesign
REG-EN-1993,Eurocode 3,"EN 1993 - Design of steel structures",EU,HarmonisedStandard,StructuralDesign
REG-UNI-EN-1090-1,UNI EN 1090-1,"UNI EN 1090-1 - Execution of steel structures and aluminium structures - Requirements for conformity assessment of structural components",EU,HarmonisedStandard,SteelExecution
REG-UNI-EN-ISO-4063,UNI EN ISO 4063,"UNI EN ISO 4063 - Welding and allied processes - Nomenclature of processes and reference numbers",EU,HarmonisedStandard,Welding
REG-EN-ISO-16228,EN ISO 16228,"EN ISO 16228 - Fasteners - Types of inspection documents",EU,HarmonisedStandard,Fasteners
REG-EN-10025,EN 10025 series,"EN 10025-1 to -6 and related product standards for hot rolled structural steel",EU,ProductStandard,SteelMaterial
REG-EN-10025-2,EN 10025-2 (cold formed set),"EN 10025-2 and related standards for cold formed structural steel products",EU,ProductStandard,SteelMaterial
REG-UNI-7163-72,UNI 7163-72,"UNI 7163-72 - Concrete - Conformity control requirements",IT,NationalStandard,ConcreteMaterial
REG-UNI-7122-72,UNI 7122-72,"UNI 7122-72 - Concrete - Sampling of fresh concrete",IT,NationalStandard,ConcreteMaterial
REG-UNI-7466-75,UNI 7466-1/2/3-75,"UNI 7466 parts 1 to 3 - Aggregates for concrete - Size and grading",IT,NationalStandard,ConcreteMaterial
REG-UNI-9558,UNI 9558,"UNI 9558 - Formwork and concrete curing procedures",IT,NationalStandard,ConcreteExecution
REG-UNI-EN-12350-1,UNI EN 12350-1:2009,"UNI EN 12350-1:2009 - Testing fresh concrete - Sampling",EU,HarmonisedStandard,ConcreteTesting
REG-ETAG-032,ETAG 032,"ETAG 032 - Guideline for European Technical Approval of expansion joints for road bridges",EU,ApprovalGuideline,BridgeAccessories
REG-UNI-EN-1337,UNI EN 1337,"UNI EN 1337 - Structural bearings",EU,HarmonisedStandard,BridgeAccessories
REG-EN-14695-2010,EN 14695:2010,"EN 14695:2010 - Flexible sheets for waterproofing - Reinforced bitumen sheets for waterproofing of concrete bridge decks",EU,HarmonisedStandard,Waterproofing
REG-UNI-EN-1317,UNI EN 1317,"UNI EN 1317 - Road restraint systems",EU,HarmonisedStandard,RoadSafety
REG-ANAS-CSA,ANAS CSA,"ANAS Capitolato Speciale d'Appalto - bituminous binder characteristics",IT,ContractSpecification,Pavement
REG-PROJ-SPEC,Project specification,"Project-specific technical specification and approved utility relocation plans",IT,ContractSpecification,ProjectSpecific
