requirement_id,phase_id,table1_phase_label,inspection_item,requirement_statement,expected_condition,target_type,target_ifc_class,evidence_pattern,required_classes,prohibited_classes,evidence_modality,checkability,detectability_tier,regulation_id,regulation_clause,clause_confidence,hold_point,notes
IR-P1-001,P1,Site preparation,Temporary traffic signs,"Roadwork signs and warning devices shall be placed according to the approved temporary signage scheme.",ApprovedSignageSchemeRealised,TrafficManagementZone,IfcSpatialZone,SpatialCompleteness,stop sign;traffic barrier,,Visual,ASSISTED,COARSE,REG-CDS-285-1992,Art. 21,HIGH,FALSE,"Correct placement is a geometric relation between sign position and the approved scheme; detection alone proves presence, not conformity of layout. Second regulation: REG-DM-10-07-2002."
IR-P1-002,P1,Site preparation,Work-zone barriers,"Work areas shall be delimited and pedestrians protected from the work zone.",ContinuousDelimitationAlongWorkZoneBoundary,WorkZoneBoundary,IfcSpatialZone,SpatialCompleteness,barrier;barricade;fence,,Visual,AUTOMATIC,COARSE,REG-DLGS-81-2008,Allegato XVIII punto 1,MEDIUM,FALSE,"Continuity along the full boundary polyline is the requirement; single-frame detection is insufficient by construction."
IR-P1-003,P1,Site preparation,PPE usage,"Workers on site shall wear helmet, high-visibility vest and safety footwear.",AllWorkersWearingRequiredPPE,Worker,,ComponentIntegrity,helmet;vest;boots,,Visual,AUTOMATIC,FINE,REG-DLGS-81-2008,Titolo III Capo II Art. 74-79,HIGH,FALSE,"Per-worker check. Head and feet are frequently occluded or below detector resolution at typical site standoff; the archetypal insufficient-evidence case."
IR-P2-004,P2,Utility relocation,Excavation safety,"Utility trenches shall be protected and access to them controlled.",TrenchProtectedAndAccessControlled,UtilityTrench,IfcSpatialZone,PresenceOfRequired,barrier;fence,,Visual,AUTOMATIC,COARSE,REG-DLGS-81-2008,Art. 118; Allegato XVIII punto 4,HIGH,FALSE,""
IR-P2-005,P2,Utility relocation,Hazard signage,"Warning signs shall be posted and access to restricted areas prevented.",HazardZoneSignedAndRestricted,HazardZone,IfcSpatialZone,PresenceOfRequired,stop sign;barricade,,Visual,ASSISTED,MEDIUM,REG-DLGS-81-2008,Titolo V Art. 161-166,MEDIUM,FALSE,"Sign legibility rather than sign presence is the legal test; requires resolution beyond the current detector."
IR-P2-006,P2,Micropile construction,Drilling equipment positioning,"Drilling rigs shall be operated and stabilised safely.",RigStableAndCorrectlyPositioned,DrillingRig,IfcBuildingElementProxy,GeometricConformance,,,Visual,MANUAL,NON_VISUAL,REG-DLGS-81-2008,Titolo IV Capo I,MEDIUM,FALSE,"COVERAGE GAP: no drilling-rig class in the current 22-class detector vocabulary. Either extend the vocabulary or declare this requirement out of automatic scope."
IR-P3-007,P3,Excavation for abutments,Excavation support systems,"Excavation faces and retaining systems shall be stable.",FaceSlopeWithinAdmissibleAngleOrShored,ExcavationFace,IfcSpatialZone,GeometricConformance,,,Geometric,ASSISTED,MEDIUM,REG-DLGS-81-2008,Art. 118-119,HIGH,FALSE,"Verified from the registered point cloud (slope angle, shoring presence) rather than from RGB detection."
IR-P3-008,P3,Excavation for abutments,Edge protection,"Fall-prevention barriers shall be provided around excavations.",ContinuousEdgeProtectionAlongExcavationPerimeter,ExcavationBoundary,IfcSpatialZone,SpatialCompleteness,barrier;fence;barricade,,Visual,AUTOMATIC,COARSE,REG-DLGS-81-2008,Art. 118 comma 3; Allegato XVIII punto 4,HIGH,FALSE,"FLAGSHIP CASE. Requires perimeter coverage, not a single positive detection."
IR-P3-009,P3,Reinforced concrete works,Reinforcement placement,"Reinforcement shall be placed in accordance with the structural drawings and specifications.",AsPlacedReinforcementMatchesDesign,ReinforcementAssembly,IfcReinforcingBar,ComponentIntegrity,steel rebar,,Visual,ASSISTED,FINE,REG-NTC-2018,Cap. 4.1; EN 1992-1-1,MEDIUM,TRUE,"HOLD POINT: irreversibly concealed by the pour. Bar count and spacing require fine GSD; second regulation REG-EN-1992."
IR-P3-010,P3,Reinforced concrete works,Formwork installation,"Formwork shall be structurally stable and correctly assembled.",FormworkStableAndCorrectlyAssembled,Formwork,IfcBuildingElementProxy,GeometricConformance,,,Visual,MANUAL,NON_VISUAL,REG-NTC-2018,Cap. 4.1; D.Lgs. 81/2008 Art. 122-126,MEDIUM,TRUE,"COVERAGE GAP: no formwork class in the detector vocabulary."
IR-P3-011,P3,Reinforced concrete works,Concrete quality control,"Concrete shall be certified and placed according to the prescribed execution procedures.",ValidConformityCertificateOnFile,ConcreteBatch,IfcMaterial,DocumentaryConformance,,,Documentary,MANUAL,NON_VISUAL,REG-UNI-7163-72,Conformity control,MEDIUM,TRUE,"Document-backed; enters the graph as DocumentEvidence, not as an observation. Second regulation REG-UNI-7122-72."
IR-P3-012,P3,Reinforced concrete works,Concrete quality control,"Aggregate size in the concrete mix shall conform to the specified grading.",AggregateGradingConforms,ConcreteBatch,IfcMaterial,DocumentaryConformance,,,Documentary,MANUAL,NON_VISUAL,REG-UNI-7466-75,Parts 1-3,MEDIUM,FALSE,""
IR-P3-013,P3,Reinforced concrete works,Concrete curing,"Curing shall be carried out and formwork struck according to the prescribed procedure.",CuringProcedureFollowed,ConcreteElement,IfcElement,DocumentaryConformance,,,Documentary,MANUAL,NON_VISUAL,REG-UNI-9558,Curing and striking,TO_VERIFY,FALSE,"Temporal requirement: verified over an interval, not at an instant."
IR-P3-014,P3,Reinforced concrete works,Concrete testing,"Fresh concrete samples shall be collected as prescribed.",SamplesCollectedPerLot,ConcreteBatch,IfcMaterial,MaterialTestConformance,,,MaterialTest,MANUAL,NON_VISUAL,REG-UNI-EN-12350-1,Sampling,HIGH,TRUE,""
IR-P3-015,P3,Reinforced concrete works,Concrete cover,"Concrete cover to reinforcement shall comply with the prescribed minimum.",CoverAtOrAboveMinimum,ReinforcementAssembly,IfcReinforcingBar,GeometricConformance,steel rebar,,Geometric,ASSISTED,FINE,REG-DM-09-01-1996,Cover and prestressing provisions,TO_VERIFY,TRUE,"HOLD POINT. Measurable pre-pour from registered point cloud plus rebar detection; not measurable post-pour without a covermeter."
IR-P4-016,P4,Existing deck demolition,Demolition exclusion zones,"Access to the demolition zone shall be controlled and workers protected.",ZoneBarrieredAndClearOfPersonnel,DemolitionExclusionZone,IfcSpatialZone,VerifiedAbsence,barrier;fence;barricade,helmet;vest;boots,Visual,AUTOMATIC,COARSE,REG-DLGS-81-2008,Art. 151-156,HIGH,FALSE,"Compound requirement: presence of the barrier AND verified absence of workers inside the zone. The absence half cannot be settled by detection alone."
IR-P4-017,P4,Carpentry,Steel structural elements,"Structural steel components shall be produced under a conformity assessment system.",FactoryProductionControlCertificateOnFile,SteelComponentLot,IfcMaterial,DocumentaryConformance,,,Documentary,MANUAL,NON_VISUAL,REG-UNI-EN-1090-1,Conformity assessment,HIGH,TRUE,"Off-site; CE marking and FPC certificate."
IR-P4-018,P4,Carpentry,Steel elements production,"Welding processes shall conform to the specified process nomenclature and qualification.",WeldingProcedureQualified,WeldedJoint,IfcElement,DocumentaryConformance,,,Documentary,MANUAL,NON_VISUAL,REG-UNI-EN-ISO-4063,Process nomenclature,HIGH,TRUE,"Weld quality is verified by NDT records, not by RGB imagery."
IR-P4-019,P4,Carpentry,Structural connecting elements,"Bolting assemblies shall be complete and correctly installed with the specified inspection documentation.",BoltNutWasherPresentAndTightened,BoltedConnection,IfcMechanicalFastener,ComponentIntegrity,bolt;nut;washer,loose bolt;missing bolt,Visual,AUTOMATIC,FINE,REG-EN-ISO-16228,Inspection documents,MEDIUM,FALSE,"FLAGSHIP CASE. A washer hidden behind the nut is geometrically unobservable from most viewpoints: the canonical insufficient-evidence instance. Second regulation REG-NTC-2018 Cap. 4.2.8."
IR-P4-020,P4,Carpentry,Steel structural elements,"Hot-rolled structural steel products shall conform to the specified product standards.",MillCertificatesConform,SteelComponentLot,IfcMaterial,DocumentaryConformance,,,Documentary,MANUAL,NON_VISUAL,REG-EN-10025,EN 10025-1 to -6 and related,HIGH,TRUE,""
IR-P4-021,P4,Carpentry,Steel structural elements,"Cold-formed structural steel products shall conform to the specified product standards.",MillCertificatesConform,SteelComponentLot,IfcMaterial,DocumentaryConformance,,,Documentary,MANUAL,NON_VISUAL,REG-EN-10025-2,EN 10025-2 and related,HIGH,TRUE,""
IR-P4-022,P4,Existing deck demolition,Debris containment,"Falling material shall be contained and prevented from reaching persons or property.",DebrisContainmentInPlace,DemolitionZone,IfcSpatialZone,PresenceOfRequired,fence;barricade,,Visual,ASSISTED,COARSE,REG-DLGS-81-2008,Art. 153-154,HIGH,FALSE,"Chutes and containment sheeting are not in the detector vocabulary; only the perimeter half is automatable."
